Arquitectura,Accuracy,Precision,Recall,F1-score,Tiempo_entrenamiento_s
Arquitectura_1,0.8622862286228623,0.6701195480506034,0.7223930728034695,0.6925630883719971,10.8
Arquitectura_2,0.8055805580558055,0.6259563444606829,0.6885086945278462,0.6480586022615029,18.0
Arquitectura_3,0.8550855085508551,0.6684691607021606,0.7011185728695988,0.6837191444453059,25.8
Arquitectura_4,0.8073807380738074,0.641753638040582,0.6736613743453689,0.6506192088811956,53.7
Arquitectura_5,0.8541854185418541,0.6757206648695283,0.7098058955788094,0.6891762539842721,155.4
